"","StateName","StateAbbrev","DataLevel","Charter","DistrictName","DistrictType","NCESDistrictID","StateAssignedDistrictID","EnrollmentTotal","StaffMaskPolicy","StaffMaskStart1","StaffMaskEnd1","StaffMaskStart2","StaffMaskEnd2","StudentMaskPolicy","StudentMaskStart1","StudentMaskEnd1","StudentMaskStart2","StudentMaskEnd2"
"1","Florida","FL","District","No","Alachua","Regular local school district","1200030","01","28123",,,,,,,,,,
"2","Florida","FL","District","No","Baker","Regular local school district","1200060","02","4767",,,,,,,,,,
"3","Florida","FL","District","No","Bay","Regular local school district","1200090","03","24744",,,,,,,,,,
"4","Florida","FL","District","No","Bradford","Regular local school district","1200120","04","2676",,,,,,,,,,
"5","Florida","FL","District","No","Brevard","Regular local school district","1200150","05","69569",,,,,,,,,,
"6","Florida","FL","District","No","Broward","Regular local school district","1200180","06","254453","Required full school year",,,,,"Required full school year",,,,
"7","Florida","FL","District","No","Calhoun","Regular local school district","1200210","07","2020","Required full school year",,,,,"Required full school year",,,,
"8","Florida","FL","District","No","Charlotte","Regular local school district","1200240","08","14860",,,,,,,,,,
"9","Florida","FL","District","No","Citrus","Regular local school district","1200270","09","15004",,,,,,,,,,
"10","Florida","FL","District","No","Clay","Regular local school district","1200300","10","37638",,,,,,,,,,
"11","Florida","FL","District","No","Collier","Regular local school district","1200330","11","45802",,,,,,,,,,
"12","Florida","FL","District","No","Columbia","Regular local school district","1200360","12","9487",,,,,,,,,,
"13","Florida","FL","District","No","Deaf/Blind","State-operated agency","1202016","68","488","Not required",,,,,"Not required",,,,
"14","Florida","FL","District","No","Desoto","Regular local school district","1200420","14","4548","Required full school year",,,,,"Required full school year",,,,
"15","Florida","FL","District","No","Dixie","Regular local school district","1200450","15","2006",,,,,,,,,,
"16","Florida","FL","District","No","Duval","Regular local school district","1200480","16","124694","Required full school year",,,,,"Required full school year",,,,
"17","Florida","FL","District","No","Escambia","Regular local school district","1200510","17","37822","Required full school year",,,,,"Required full school year",,,,
"18","Florida","FL","District","No","Famu Lab Sch","Other education agency","1202014","74","627",,,,,,,,,,
"19","Florida","FL","District","No","Fau Lab Sch","Other education agency","1202012","72","2712",,,,,,,,,,
"20","Florida","FL","District","No","Flagler","Regular local school district","1200540","18","12798",,,,,,,,,,
"21","Florida","FL","District","No","Franklin","Regular local school district","1200570","19","1195","Required at least part of school year",,,,,"Required at least part of school year",,,,
"22","Florida","FL","District","No","Fsu Lab Sch","Other education agency","1202013","73","2529","Required full school year",,,,,"Required full school year",,,,
"23","Florida","FL","District","No","Gadsden","Regular local school district","1200600","20","4547",,,,,,,,,,
"24","Florida","FL","District","No","Gilchrist","Regular local school district","1200630","21","2575",,,,,,,,,,
"25","Florida","FL","District","No","Glades","Regular local school district","1200660","22","1737",,,,,,,,,,
"26","Florida","FL","District","No","Gulf","Regular local school district","1200690","23","1787",,,,,,,,,,
"27","Florida","FL","District","No","Hamilton","Regular local school district","1200720","24","1515",,,,,,,,,,
"28","Florida","FL","District","No","Hardee","Regular local school district","1200750","25","4892","Required full school year",,,,,"Required full school year",,,,
"29","Florida","FL","District","No","Hendry","Regular local school district","1200780","26","13335",,,,,,,,,,
"30","Florida","FL","District","No","Hernando","Regular local school district","1200810","27","22235",,,,,,,,,,
"31","Florida","FL","District","No","Highlands","Regular local school district","1200840","28","11913","Required full school year",,,,,"Required full school year",,,,
"32","Florida","FL","District","No","Hillsborough","Regular local school district","1200870","29","216229",,,,,,,,,,
"33","Florida","FL","District","No","Holmes","Regular local school district","1200900","30","3037",,,,,,,,,,
"34","Florida","FL","District","No","Indian River","Regular local school district","1200930","31","17349",,,,,,,,,,
"35","Florida","FL","District","No","Jackson","Regular local school district","1200960","32","5950","Required full school year",,,,,"Required full school year",,,,
"36","Florida","FL","District","No","Jefferson","Regular local school district","1200990","33","703","Required full school year",,,,,"Required full school year",,,,
"37","Florida","FL","District","Yes","Kipp Charter","Charter Agency","1200083","98Z",,,,,,,,,,,
"38","Florida","FL","District","No","Lafayette","Regular local school district","1201020","34","1119",,,,,,,,,,
"39","Florida","FL","District","No","Lake","Regular local school district","1201050","35","42935",,,,,,,,,,
"40","Florida","FL","District","Yes","Lake Wales Charter Schools","Charter agency","1200080","53D",,,,,,,,,,,
"41","Florida","FL","District","No","Lee","Regular local school district","1201080","36","93464","Required full school year",,,,,"Required full school year",,,,
"42","Florida","FL","District","No","Leon","Regular local school district","1201110","37","32371",,,,,,,,,,
"43","Florida","FL","District","No","Levy","Regular local school district","1201140","38","5272",,,,,,,,,,
"44","Florida","FL","District","No","Liberty","Regular local school district","1201170","39","1197",,,,,,,,,,
"45","Florida","FL","District","No","Madison","Regular local school district","1201200","40","2398",,,,,,,,,,
"46","Florida","FL","District","No","Manatee","Regular local school district","1201230","41","48122",,,,,,,,,,
"47","Florida","FL","District","No","Marion","Regular local school district","1201260","42","40459","Required full school year",,,,,"Required full school year",,,,
"48","Florida","FL","District","No","Martin","Regular local school district","1201290","43","18019","Required full school year",,,,,"Required full school year",,,,
"49","Florida","FL","District","No","Miami-Dade","Regular local school district","1200390","13","326788",,,,,,,,,,
"50","Florida","FL","District","No","Monroe","Regular local school district","1201320","44","8181",,,,,,,,,,
"51","Florida","FL","District","No","Nassau","Regular local school district","1201350","45","11800",,,,,,,,,,
"52","Florida","FL","District","No","Okaloosa","Regular local school district","1201380","46","31200",,,,,,,,,,
"53","Florida","FL","District","No","Okeechobee","Regular local school district","1201410","47","6164",,,,,,,,,,
"54","Florida","FL","District","No","Orange","Regular local school district","1201440","48","197234",,,,,,,,,,
"55","Florida","FL","District","No","Osceola","Regular local school district","1201470","49","67574",,,,,,,,,,
"56","Florida","FL","District","No","Palm Beach","Regular local school district","1201500","50","185704",,,,,,,,,,
"57","Florida","FL","District","No","Pasco","Regular local school district","1201530","51","75874",,,,,,,,,,
"58","Florida","FL","District","No","Pinellas","Regular local school district","1201560","52","93762",,,,,,,,,,
"59","Florida","FL","District","No","Polk","Regular local school district","1201590","53","103386","Required full school year",,,,,"Required full school year",,,,
"60","Florida","FL","District","No","Putnam","Regular local school district","1201620","54","10073","Required full school year",,,,,"Required full school year",,,,
"61","Florida","FL","District","No","Santa Rosa","Regular local school district","1201650","57","27298",,,,,,,,,,
"62","Florida","FL","District","No","Sarasota","Regular local school district","1201680","58","42167",,,,,,,,,,
"63","Florida","FL","District","No","Seminole","Regular local school district","1201710","59","65296","Required full school year",,,,,"Required full school year",,,,
"64","Florida","FL","District","Yes","South Tech Academy","Charter agency","1200081","50D",,,,,,,,,,,
"65","Florida","FL","District","No","St. Johns","Regular local school district","1201740","55","43868",,,,,,,,,,
"66","Florida","FL","District","No","St. Lucie","Regular local school district","1201770","56","41317",,,,,,,,,,
"67","Florida","FL","District","No","Suwannee","Regular local school district","1201830","61","5528",,,,,,,,,,
"68","Florida","FL","District","No","Taylor","Regular local school district","1201860","62","2559",,,,,,,,,,
"69","Florida","FL","District","Yes","Ucp","Charter agency","1200082","48D",,"Required full school year",,,,,"Required full school year",,,,
"70","Florida","FL","District","No","Uf Lab Sch","Other education agency","1202015","75","1244",,,,,,,,,,
"71","Florida","FL","District","No","Union","Regular local school district","1201890","63","2299",,,,,,,,,,
"72","Florida","FL","District","No","Wakulla","Regular local school district","1201950","65","4709",,,,,,,,,,
"73","Florida","FL","District","No","Walton","Regular local school district","1201980","66","10066",,,,,,,,,,
